function,heading_deg,highlight,tag_id,camera,distance_m,distance_weight,camera_view_angle_deg,tag_incidence_deg,bearing_world_deg,weighted_contribution
A_current,0.0,,43,rear,3.776,1.0,11.1,11.1,168.9,0.3
A_current,0.0,,44,rear,3.716,1.0,-4.5,4.5,184.5,0.3
A_current,5.0,,44,rear,3.716,1.0,0.6,4.4,184.4,0.3
A_current,10.0,,44,rear,3.716,1.0,5.7,4.3,184.3,0.3
A_current,15.0,,44,rear,3.717,1.0,10.8,4.2,184.2,0.3
A_current,20.0,,47,rear,1.625,1.0,-12.6,57.4,212.6,0.3
A_current,25.0,,47,rear,1.624,1.0,-7.3,57.7,212.3,0.3
A_current,30.0,,47,rear,1.623,1.0,-2.1,57.9,212.1,0.3
A_current,35.0,,47,rear,1.623,1.0,3.1,58.1,211.9,0.3
A_current,40.0,,47,rear,1.624,1.0,8.4,58.4,211.6,0.3
A_current,45.0,,47,rear,1.625,1.0,13.6,58.6,211.4,0.3
A_current,50.0,,48,rear,0.951,1.0,-12.3,27.7,242.3,0.3
A_current,55.0,,48,rear,0.95,1.0,-6.9,28.1,241.9,0.3
A_current,60.0,,48,rear,0.95,1.0,-1.5,28.5,241.5,0.3
A_current,65.0,,36,front,3.722,1.0,-32.5,7.5,97.5,1.0
A_current,65.0,,48,rear,0.95,1.0,3.8,28.8,241.2,0.3
A_current,70.0,,36,front,3.719,1.0,-27.4,7.4,97.4,1.0
A_current,70.0,,48,rear,0.951,1.0,9.2,29.2,240.8,0.3
A_current,75.0,,36,front,3.717,1.0,-22.3,7.3,97.3,1.0
A_current,75.0,,48,rear,0.952,1.0,14.6,29.6,240.4,0.3
A_current,80.0,,36,front,3.716,1.0,-17.3,7.3,97.3,1.0
A_current,85.0,,36,front,3.714,1.0,-12.2,7.2,97.2,1.0
A_current,90.0,,36,front,3.714,1.0,-7.1,7.1,97.1,1.0
A_current,95.0,,36,front,3.713,1.0,-2.0,7.0,97.0,1.0
A_current,100.0,,36,front,3.713,1.0,3.0,7.0,97.0,1.0
A_current,105.0,,36,front,3.714,1.0,8.1,6.9,96.9,1.0
A_current,105.0,,49,rear,0.933,1.0,-12.5,27.5,297.5,0.3
A_current,110.0,,36,front,3.715,1.0,13.2,6.8,96.8,1.0
A_current,110.0,,49,rear,0.932,1.0,-7.1,27.1,297.1,0.3
A_current,115.0,,36,front,3.716,1.0,18.3,6.7,96.7,1.0
A_current,115.0,,49,rear,0.931,1.0,-1.7,26.7,296.7,0.3
A_current,120.0,Y,36,front,3.718,1.0,23.3,6.7,96.7,1.0
A_current,120.0,Y,49,rear,0.931,1.0,3.7,26.3,296.3,0.3
A_current,125.0,,36,front,3.72,1.0,28.4,6.6,96.6,1.0
A_current,125.0,,49,rear,0.932,1.0,9.1,25.9,295.9,0.3
A_current,130.0,,36,front,3.722,1.0,33.4,6.6,96.6,1.0
A_current,130.0,,49,rear,0.933,1.0,14.5,25.5,295.5,0.3
A_current,135.0,,43,front,3.804,1.0,-34.5,10.5,169.5,1.0
A_current,140.0,,43,front,3.802,1.0,-29.5,10.5,169.5,1.0
A_current,145.0,,43,front,3.8,1.0,-24.4,10.6,169.4,1.0
A_current,150.0,,43,front,3.798,1.0,-19.3,10.7,169.3,1.0
A_current,150.0,,44,front,3.746,1.0,-34.9,4.9,184.9,1.0
A_current,155.0,,43,front,3.797,1.0,-14.3,10.7,169.3,1.0
A_current,155.0,,44,front,3.743,1.0,-29.8,4.8,184.8,1.0
A_current,160.0,,43,front,3.796,1.0,-9.2,10.8,169.2,1.0
A_current,160.0,,44,front,3.741,1.0,-24.7,4.7,184.7,1.0
A_current,165.0,,43,front,3.795,1.0,-4.1,10.9,169.1,1.0
A_current,165.0,,44,front,3.739,1.0,-19.7,4.7,184.7,1.0
A_current,170.0,,43,front,3.795,1.0,0.9,10.9,169.1,1.0
A_current,170.0,,44,front,3.738,1.0,-14.6,4.6,184.6,1.0
A_current,175.0,,43,front,3.795,1.0,6.0,11.0,169.0,1.0
A_current,175.0,,44,front,3.737,1.0,-9.5,4.5,184.5,1.0
A_current,180.0,,43,front,3.796,1.0,11.1,11.1,168.9,1.0
A_current,180.0,,44,front,3.736,1.0,-4.5,4.5,184.5,1.0
A_current,180.0,,47,front,1.652,1.0,-33.0,57.0,213.0,1.0
A_current,185.0,,43,front,3.797,1.0,16.2,11.2,168.8,1.0
A_current,185.0,,44,front,3.736,1.0,0.6,4.4,184.4,1.0
A_current,185.0,,47,front,1.649,1.0,-27.9,57.1,212.9,1.0
A_current,190.0,,43,front,3.799,1.0,21.2,11.2,168.8,1.0
A_current,190.0,,44,front,3.736,1.0,5.7,4.3,184.3,1.0
A_current,190.0,,47,front,1.647,1.0,-22.7,57.3,212.7,1.0
A_current,195.0,,43,front,3.8,1.0,26.3,11.3,168.7,1.0
A_current,195.0,,44,front,3.737,1.0,10.8,4.2,184.2,1.0
A_current,195.0,,47,front,1.646,1.0,-17.6,57.4,212.6,1.0
A_current,200.0,,43,front,3.803,1.0,31.4,11.4,168.6,1.0
A_current,200.0,,44,front,3.738,1.0,15.8,4.2,184.2,1.0
A_current,200.0,,47,front,1.644,1.0,-12.4,57.6,212.4,1.0
A_current,205.0,,44,front,3.74,1.0,20.9,4.1,184.1,1.0
A_current,205.0,,47,front,1.644,1.0,-7.2,57.8,212.2,1.0
A_current,210.0,,44,front,3.742,1.0,26.0,4.0,184.0,1.0
A_current,210.0,,47,front,1.643,1.0,-2.1,57.9,212.1,1.0
A_current,210.0,,48,front,0.978,1.0,-33.1,26.9,243.1,1.0
A_current,215.0,,44,front,3.744,1.0,31.0,4.0,184.0,1.0
A_current,215.0,,47,front,1.643,1.0,3.1,58.1,211.9,1.0
A_current,215.0,,48,front,0.976,1.0,-27.9,27.1,242.9,1.0
A_current,220.0,,47,front,1.644,1.0,8.3,58.3,211.7,1.0
A_current,220.0,,48,front,0.974,1.0,-22.6,27.4,242.6,1.0
A_current,225.0,,47,front,1.645,1.0,13.4,58.4,211.6,1.0
A_current,225.0,,48,front,0.972,1.0,-17.4,27.6,242.4,1.0
A_current,230.0,,47,front,1.646,1.0,18.6,58.6,211.4,1.0
A_current,230.0,,48,front,0.971,1.0,-12.1,27.9,242.1,1.0
A_current,235.0,,47,front,1.648,1.0,23.7,58.7,211.3,1.0
A_current,235.0,,48,front,0.97,1.0,-6.8,28.2,241.8,1.0
A_current,240.0,,47,front,1.65,1.0,28.9,58.9,211.1,1.0
A_current,240.0,,48,front,0.97,1.0,-1.5,28.5,241.5,1.0
A_current,245.0,,47,front,1.652,1.0,34.0,59.0,211.0,1.0
A_current,245.0,,48,front,0.97,1.0,3.8,28.8,241.2,1.0
A_current,250.0,,48,front,0.97,1.0,9.0,29.0,241.0,1.0
A_current,255.0,,48,front,0.971,1.0,14.3,29.3,240.7,1.0
A_current,260.0,,48,front,0.973,1.0,19.6,29.6,240.4,1.0
A_current,265.0,Y,48,front,0.975,1.0,24.9,29.9,240.1,1.0
A_current,265.0,Y,49,front,0.96,1.0,-33.3,28.3,298.3,1.0
A_current,265.0,Y,36,rear,3.695,1.0,-12.3,7.3,97.3,0.3
A_current,270.0,,48,front,0.977,1.0,30.1,30.1,239.9,1.0
A_current,270.0,,49,front,0.957,1.0,-28.0,28.0,298.0,1.0
A_current,270.0,,36,rear,3.694,1.0,-7.2,7.2,97.2,0.3
A_current,275.0,,49,front,0.955,1.0,-22.8,27.8,297.8,1.0
A_current,275.0,,36,rear,3.693,1.0,-2.1,7.1,97.1,0.3
A_current,280.0,,49,front,0.954,1.0,-17.5,27.5,297.5,1.0
A_current,280.0,,36,rear,3.693,1.0,3.0,7.0,97.0,0.3
A_current,285.0,,49,front,0.952,1.0,-12.2,27.2,297.2,1.0
A_current,285.0,,36,rear,3.694,1.0,8.1,6.9,96.9,0.3
A_current,290.0,,49,front,0.952,1.0,-6.9,26.9,296.9,1.0
A_current,290.0,,36,rear,3.695,1.0,13.2,6.8,96.8,0.3
A_current,295.0,,49,front,0.951,1.0,-1.7,26.7,296.7,1.0
A_current,300.0,,49,front,0.951,1.0,3.6,26.4,296.4,1.0
A_current,305.0,,49,front,0.952,1.0,8.9,26.1,296.1,1.0
A_current,310.0,,49,front,0.953,1.0,14.2,25.8,295.8,1.0
A_current,315.0,,49,front,0.954,1.0,19.5,25.5,295.5,1.0
A_current,320.0,,49,front,0.956,1.0,24.7,25.3,295.3,1.0
A_current,325.0,,49,front,0.958,1.0,30.0,25.0,295.0,1.0
A_current,335.0,,43,rear,3.777,1.0,-14.3,10.7,169.3,0.3
A_current,340.0,,43,rear,3.776,1.0,-9.2,10.8,169.2,0.3
A_current,345.0,,43,rear,3.775,1.0,-4.2,10.8,169.2,0.3
A_current,350.0,Y,43,rear,3.775,1.0,0.9,10.9,169.1,0.3
A_current,350.0,Y,44,rear,3.719,1.0,-14.7,4.7,184.7,0.3
A_current,355.0,,43,rear,3.775,1.0,6.0,11.0,169.0,0.3
A_current,355.0,,44,rear,3.717,1.0,-9.6,4.6,184.6,0.3
B_front6_rear3,0.0,,31,front,5.572,0.4,-32.6,57.4,32.6,0.4
B_front6_rear3,0.0,,54,front,5.153,0.4,3.2,3.2,356.8,0.4
B_front6_rear3,0.0,,55,front,5.098,0.4,-8.2,8.2,8.2,0.4
B_front6_rear3,0.0,,56,front,5.34,0.4,-19.1,19.1,19.1,0.4
B_front6_rear3,0.0,,57,front,5.755,0.4,-28.8,28.8,28.8,0.4
B_front6_rear3,5.0,,31,front,5.569,0.4,-27.5,57.5,32.5,0.4
B_front6_rear3,5.0,,54,front,5.154,0.4,8.3,3.3,356.7,0.4
B_front6_rear3,5.0,,55,front,5.097,0.4,-3.2,8.2,8.2,0.4
B_front6_rear3,5.0,,56,front,5.339,0.4,-14.1,19.1,19.1,0.4
B_front6_rear3,5.0,,57,front,5.753,0.4,-23.7,28.7,28.7,0.4
B_front6_rear3,10.0,,31,front,5.567,0.4,-22.5,57.5,32.5,0.4
B_front6_rear3,10.0,,54,front,5.155,0.4,13.3,3.3,356.7,0.4
B_front6_rear3,10.0,,55,front,5.097,0.4,1.9,8.1,8.1,0.4
B_front6_rear3,10.0,,56,front,5.338,0.4,-9.0,19.0,19.0,0.4
B_front6_rear3,10.0,,57,front,5.752,0.4,-18.7,28.7,28.7,0.4
B_front6_rear3,10.0,,58,front,5.627,0.4,-30.9,40.9,40.9,0.4
B_front6_rear3,15.0,,31,front,5.566,0.4,-17.4,57.6,32.4,0.4
B_front6_rear3,15.0,,54,front,5.156,0.4,18.4,3.4,356.6,0.4
B_front6_rear3,15.0,,55,front,5.097,0.4,6.9,8.1,8.1,0.4
B_front6_rear3,15.0,,56,front,5.337,0.4,-4.0,19.0,19.0,0.4
B_front6_rear3,15.0,,57,front,5.75,0.4,-13.6,28.6,28.6,0.4
B_front6_rear3,15.0,,58,front,5.624,0.4,-25.8,40.8,40.8,0.4
B_front6_rear3,20.0,,31,front,5.564,0.4,-12.4,57.6,32.4,0.4
B_front6_rear3,20.0,,32,front,5.338,0.4,-31.6,38.4,51.6,0.4
B_front6_rear3,20.0,,54,front,5.158,0.4,23.4,3.4,356.6,0.4
B_front6_rear3,20.0,,55,front,5.098,0.4,12.0,8.0,8.0,0.4
B_front6_rear3,20.0,,56,front,5.337,0.4,1.1,18.9,18.9,0.4
B_front6_rear3,20.0,,57,front,5.749,0.4,-8.6,28.6,28.6,0.4
B_front6_rear3,20.0,,58,front,5.622,0.4,-20.8,40.8,40.8,0.4
B_front6_rear3,20.0,,47,rear,1.625,1.0,-12.6,57.4,212.6,0.3
B_front6_rear3,25.0,,31,front,5.563,0.4,-7.3,57.7,32.3,0.4
B_front6_rear3,25.0,,32,front,5.336,0.4,-26.5,38.5,51.5,0.4
B_front6_rear3,25.0,,54,front,5.16,0.4,28.5,3.5,356.5,0.4
B_front6_rear3,25.0,,55,front,5.099,0.4,17.0,8.0,8.0,0.4
B_front6_rear3,25.0,,56,front,5.337,0.4,6.1,18.9,18.9,0.4
B_front6_rear3,25.0,,57,front,5.749,0.4,-3.5,28.5,28.5,0.4
B_front6_rear3,25.0,,58,front,5.621,0.4,-15.7,40.7,40.7,0.4
B_front6_rear3,25.0,,47,rear,1.624,1.0,-7.3,57.7,212.3,0.3
B_front6_rear3,30.0,,31,front,5.563,0.4,-2.3,57.7,32.3,0.4
B_front6_rear3,30.0,,32,front,5.334,0.4,-21.5,38.5,51.5,0.4
B_front6_rear3,30.0,,33,front,4.795,0.7,-30.5,29.5,60.5,0.7
B_front6_rear3,30.0,,54,front,5.162,0.4,33.5,3.5,356.5,0.4
B_front6_rear3,30.0,,55,front,5.101,0.4,22.1,7.9,7.9,0.4
B_front6_rear3,30.0,,56,front,5.338,0.4,11.2,18.8,18.8,0.4
B_front6_rear3,30.0,,57,front,5.749,0.4,1.5,28.5,28.5,0.4
B_front6_rear3,30.0,,58,front,5.62,0.4,-10.7,40.7,40.7,0.4
B_front6_rear3,30.0,,47,rear,1.623,1.0,-2.1,57.9,212.1,0.3
B_front6_rear3,35.0,,31,front,5.563,0.4,2.8,57.8,32.2,0.4
B_front6_rear3,35.0,,32,front,5.332,0.4,-16.4,38.6,51.4,0.4
B_front6_rear3,35.0,,33,front,4.793,0.7,-25.4,29.6,60.4,0.7
B_front6_rear3,35.0,,55,front,5.103,0.4,27.1,7.9,7.9,0.4
B_front6_rear3,35.0,,56,front,5.339,0.4,16.2,18.8,18.8,0.4
B_front6_rear3,35.0,,57,front,5.749,0.4,6.6,28.4,28.4,0.4
B_front6_rear3,35.0,,58,front,5.619,0.4,-5.6,40.6,40.6,0.4
B_front6_rear3,35.0,,47,rear,1.623,1.0,3.1,58.1,211.9,0.3
B_front6_rear3,40.0,,31,front,5.564,0.4,7.8,57.8,32.2,0.4
B_front6_rear3,40.0,,32,front,5.331,0.4,-11.4,38.6,51.4,0.4
B_front6_rear3,40.0,,33,front,4.791,0.7,-20.4,29.6,60.4,0.7
B_front6_rear3,40.0,,34,front,4.396,0.7,-31.3,18.7,71.3,0.7
B_front6_rear3,40.0,,55,front,5.105,0.4,32.2,7.8,7.8,0.4
B_front6_rear3,40.0,,56,front,5.341,0.4,21.3,18.7,18.7,0.4
B_front6_rear3,40.0,,57,front,5.75,0.4,11.6,28.4,28.4,0.4
B_front6_rear3,40.0,,58,front,5.619,0.4,-0.6,40.6,40.6,0.4
B_front6_rear3,40.0,,47,rear,1.624,1.0,8.4,58.4,211.6,0.3
B_front6_rear3,45.0,,31,front,5.564,0.4,12.8,57.8,32.2,0.4
B_front6_rear3,45.0,,32,front,5.33,0.4,-6.3,38.7,51.3,0.4
B_front6_rear3,45.0,,33,front,4.789,0.7,-15.3,29.7,60.3,0.7
B_front6_rear3,45.0,,34,front,4.394,0.7,-26.3,18.7,71.3,0.7
B_front6_rear3,45.0,,56,front,5.343,0.4,26.3,18.7,18.7,0.4
B_front6_rear3,45.0,,57,front,5.751,0.4,16.6,28.4,28.4,0.4
B_front6_rear3,45.0,,58,front,5.619,0.4,4.5,40.5,40.5,0.4
B_front6_rear3,45.0,,47,rear,1.625,1.0,13.6,58.6,211.4,0.3
B_front6_rear3,50.0,,31,front,5.566,0.4,17.9,57.9,32.1,0.4
B_front6_rear3,50.0,,32,front,5.33,0.4,-1.3,38.7,51.3,0.4
B_front6_rear3,50.0,,33,front,4.788,0.7,-10.3,29.7,60.3,0.7
B_front6_rear3,50.0,,34,front,4.392,0.7,-21.2,18.8,71.2,0.7
B_front6_rear3,50.0,,35,front,4.184,0.7,-33.6,6.4,83.6,0.7
B_front6_rear3,50.0,,56,front,5.345,0.4,31.4,18.6,18.6,0.4
B_front6_rear3,50.0,,57,front,5.753,0.4,21.7,28.3,28.3,0.4
B_front6_rear3,50.0,,58,front,5.62,0.4,9.5,40.5,40.5,0.4
B_front6_rear3,50.0,,48,rear,0.951,1.0,-12.3,27.7,242.3,0.3
B_front6_rear3,55.0,,31,front,5.567,0.4,22.9,57.9,32.1,0.4
B_front6_rear3,55.0,,32,front,5.33,0.4,3.8,38.8,51.2,0.4
B_front6_rear3,55.0,,33,front,4.788,0.7,-5.2,29.8,60.2,0.7
B_front6_rear3,55.0,,34,front,4.39,0.7,-16.2,18.8,71.2,0.7
B_front6_rear3,55.0,,35,front,4.181,0.7,-28.6,6.4,83.6,0.7
B_front6_rear3,55.0,,57,front,5.755,0.4,26.7,28.3,28.3,0.4
B_front6_rear3,55.0,,58,front,5.621,0.4,14.6,40.4,40.4,0.4
B_front6_rear3,55.0,,48,rear,0.95,1.0,-6.9,28.1,241.9,0.3
B_front6_rear3,60.0,,31,front,5.569,0.4,28.0,58.0,32.0,0.4
B_front6_rear3,60.0,,32,front,5.331,0.4,8.8,38.8,51.2,0.4
B_front6_rear3,60.0,,33,front,4.787,0.7,-0.2,29.8,60.2,0.7
B_front6_rear3,60.0,,34,front,4.389,0.7,-11.1,18.9,71.1,0.7
B_front6_rear3,60.0,,35,front,4.179,0.7,-23.5,6.5,83.5,0.7
B_front6_rear3,60.0,,57,front,5.757,0.4,31.8,28.2,28.2,0.4
B_front6_rear3,60.0,,58,front,5.622,0.4,19.6,40.4,40.4,0.4
B_front6_rear3,60.0,,48,rear,0.95,1.0,-1.5,28.5,241.5,0.3
B_front6_rear3,65.0,,31,front,5.572,0.4,33.0,58.0,32.0,0.4
B_front6_rear3,65.0,,32,front,5.331,0.4,13.9,38.9,51.1,0.4
B_front6_rear3,65.0,,33,front,4.788,0.7,4.9,29.9,60.1,0.7
B_front6_rear3,65.0,,34,front,4.389,0.7,-6.0,19.0,71.0,0.7
B_front6_rear3,65.0,,35,front,4.177,0.7,-18.4,6.6,83.4,0.7
B_front6_rear3,65.0,,36,front,3.722,1.0,-32.5,7.5,97.5,1.0
B_front6_rear3,65.0,,58,front,5.624,0.4,24.7,40.3,40.3,0.4
B_front6_rear3,65.0,,48,rear,0.95,1.0,3.8,28.8,241.2,0.3
