mode,group_key,observation_count,item_total,distance_items,angle_items,yaw_items,front_total,front_distance,front_angle,front_yaw,rear_total,rear_distance,rear_angle,rear_yaw
distance_only,624_x2.000_y3.000_h0.0,1,1,1,0,0,1,1,0,0,0,0,0,0
distance_only,624_x2.000_y3.000_h90.0,6,6,6,0,0,4,4,0,0,2,2,0,0
distance_only,624_x2.000_y3.000_h180.0,2,2,2,0,0,2,2,0,0,0,0,0,0
distance_only,624_x2.000_y3.000_h270.0,6,6,6,0,0,4,4,0,0,2,2,0,0
distance_only,624_x2.000_y4.000_h90.0,2,2,2,0,0,2,2,0,0,0,0,0,0
distance_only,624_x2.000_y4.000_h180.0,2,2,2,0,0,2,2,0,0,0,0,0,0
distance_only,624_x2.000_y4.000_h270.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,624_x3.000_y3.000_h0.0,3,3,3,0,0,1,1,0,0,2,2,0,0
distance_only,624_x3.000_y3.000_h90.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,624_x3.000_y3.000_h180.0,4,4,4,0,0,4,4,0,0,0,0,0,0
distance_only,624_x3.000_y3.000_h270.0,8,8,8,0,0,6,6,0,0,2,2,0,0
distance_only,624_x3.000_y4.000_h0.0,5,5,5,0,0,3,3,0,0,2,2,0,0
distance_only,624_x3.000_y4.000_h90.0,1,1,1,0,0,1,1,0,0,0,0,0,0
distance_only,624_x3.000_y4.000_h180.0,4,4,4,0,0,4,4,0,0,0,0,0,0
distance_only,624_x3.000_y4.000_h270.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,624_x4.000_y3.000_h0.0,5,5,5,0,0,3,3,0,0,2,2,0,0
distance_only,624_x4.000_y3.000_h90.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,624_x4.000_y3.000_h180.0,6,6,6,0,0,6,6,0,0,0,0,0,0
distance_only,624_x4.000_y3.000_h270.0,7,7,7,0,0,5,5,0,0,2,2,0,0
distance_only,624_x4.000_y4.000_h0.0,3,3,3,0,0,1,1,0,0,2,2,0,0
distance_only,624_x4.000_y4.000_h90.0,3,3,3,0,0,2,2,0,0,1,1,0,0
distance_only,624_x4.000_y4.000_h180.0,4,4,4,0,0,4,4,0,0,0,0,0,0
distance_only,624_x4.000_y4.000_h270.0,3,3,3,0,0,3,3,0,0,0,0,0,0
distance_only,624_x5.000_y3.000_h0.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,624_x5.000_y3.000_h90.0,6,6,6,0,0,4,4,0,0,2,2,0,0
distance_only,624_x5.000_y3.000_h180.0,6,6,6,0,0,6,6,0,0,0,0,0,0
distance_only,624_x5.000_y3.000_h270.0,6,6,6,0,0,4,4,0,0,2,2,0,0
distance_only,624_x5.000_y4.000_h0.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,624_x5.000_y4.000_h90.0,5,5,5,0,0,2,2,0,0,3,3,0,0
distance_only,624_x5.000_y4.000_h180.0,5,5,5,0,0,5,5,0,0,0,0,0,0
distance_only,624_x5.000_y4.000_h270.0,5,5,5,0,0,5,5,0,0,0,0,0,0
distance_only,625_x6.000_y2.000_h0.0,4,4,4,0,0,4,4,0,0,0,0,0,0
distance_only,625_x6.000_y2.000_h90.0,8,8,8,0,0,6,6,0,0,2,2,0,0
distance_only,625_x6.000_y2.000_h180.0,7,7,7,0,0,6,6,0,0,1,1,0,0
distance_only,625_x6.000_y2.000_h270.0,6,6,6,0,0,3,3,0,0,3,3,0,0
distance_only,625_x6.000_y4.000_h0.0,7,7,7,0,0,5,5,0,0,2,2,0,0
distance_only,625_x6.000_y4.000_h90.0,4,4,4,0,0,2,2,0,0,2,2,0,0
distance_only,625_x6.000_y4.000_h180.0,5,5,5,0,0,5,5,0,0,0,0,0,0
distance_only,625_x6.000_y4.000_h270.0,4,4,4,0,0,4,4,0,0,0,0,0,0
distance_only,625_x7.000_y3.000_h0.0,3,3,3,0,0,3,3,0,0,0,0,0,0
distance_only,625_x7.000_y3.000_h90.0,5,5,5,0,0,3,3,0,0,2,2,0,0
distance_only,625_x7.000_y3.000_h180.0,4,4,4,0,0,3,3,0,0,1,1,0,0
distance_only,625_x7.000_y3.000_h270.0,7,7,7,0,0,5,5,0,0,2,2,0,0
distance_only,625_x7.000_y4.000_h0.0,5,5,5,0,0,5,5,0,0,0,0,0,0
distance_only,625_x7.000_y4.000_h90.0,4,4,4,0,0,2,2,0,0,2,2,0,0
distance_only,625_x7.000_y4.000_h180.0,7,7,7,0,0,5,5,0,0,2,2,0,0
distance_only,625_x7.000_y4.000_h270.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,625_x8.000_y3.000_h0.0,4,4,4,0,0,4,4,0,0,0,0,0,0
distance_only,625_x8.000_y3.000_h90.0,6,6,6,0,0,4,4,0,0,2,2,0,0
distance_only,625_x8.000_y3.000_h180.0,9,9,9,0,0,7,7,0,0,2,2,0,0
distance_only,625_x8.000_y3.000_h270.0,6,6,6,0,0,4,4,0,0,2,2,0,0
distance_only,625_x8.000_y4.000_h0.0,4,4,4,0,0,4,4,0,0,0,0,0,0
distance_only,625_x8.000_y4.000_h90.0,2,2,2,0,0,2,2,0,0,0,0,0,0
distance_only,625_x8.000_y4.000_h180.0,5,5,5,0,0,3,3,0,0,2,2,0,0
distance_only,625_x8.000_y4.000_h270.0,2,2,2,0,0,2,2,0,0,0,0,0,0
distance_only,625_x9.000_y3.000_h0.0,3,3,3,0,0,3,3,0,0,0,0,0,0
distance_only,625_x9.000_y3.000_h90.0,6,6,6,0,0,4,4,0,0,2,2,0,0
distance_only,625_x9.000_y3.000_h180.0,2,2,2,0,0,1,1,0,0,1,1,0,0
distance_only,625_x9.000_y3.000_h270.0,5,5,5,0,0,4,4,0,0,1,1,0,0
distance_only,625_x9.000_y4.000_h0.0,2,2,2,0,0,2,2,0,0,0,0,0,0
distance_only,625_x9.000_y4.000_h90.0,2,2,2,0,0,2,2,0,0,0,0,0,0
distance_only,625_x9.000_y4.000_h180.0,4,4,4,0,0,3,3,0,0,1,1,0,0
distance_only,625_x9.000_y4.000_h270.0,5,5,5,0,0,5,5,0,0,0,0,0,0
distance_angle,624_x2.000_y3.000_h0.0,1,2,1,1,0,2,1,1,0,0,0,0,0
distance_angle,624_x2.000_y3.000_h90.0,6,12,6,6,0,8,4,4,0,4,2,2,0
distance_angle,624_x2.000_y3.000_h180.0,2,4,2,2,0,4,2,2,0,0,0,0,0
distance_angle,624_x2.000_y3.000_h270.0,6,12,6,6,0,8,4,4,0,4,2,2,0
distance_angle,624_x2.000_y4.000_h90.0,2,4,2,2,0,4,2,2,0,0,0,0,0
distance_angle,624_x2.000_y4.000_h180.0,2,4,2,2,0,4,2,2,0,0,0,0,0
distance_angle,624_x2.000_y4.000_h270.0,5,10,5,5,0,8,4,4,0,2,1,1,0
distance_angle,624_x3.000_y3.000_h0.0,3,6,3,3,0,2,1,1,0,4,2,2,0
distance_angle,624_x3.000_y3.000_h90.0,5,10,5,5,0,8,4,4,0,2,1,1,0
distance_angle,624_x3.000_y3.000_h180.0,4,8,4,4,0,8,4,4,0,0,0,0,0
