sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s001,2.0,1.0,60.0,5,True,,1.9994055557496915,1.0209733618750128,59.84539038080398,0.020981784297503473,-0.15460961919603733,0.15460961919603733,True,True,True,True,True,True,True,True,73,11.614400002144976,10.976021471296928,5,5,0,36;37;38;39;45,36;37;38;39;45,
main29_s002,2.0,2.0,70.0,6,True,,2.044869486301535,2.0068581142419535,70.83746109187922,0.04539057756758896,0.83746109187922,0.83746109187922,True,True,True,True,True,True,True,True,58,8.855800002493197,2.384762799880135,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
main29_s003,2.0,3.0,265.0,7,True,,1.993703513902866,2.9853129655520743,262.9423867973766,0.015979822215718125,-2.057613202623372,2.057613202623372,True,True,True,True,True,True,True,True,58,9.238700000423705,4.029549386969645,7,7,0,43;44;45;46;47;38;39,43;44;45;46;47;38;39,
main29_s004,2.0,4.0,290.0,6,True,,1.9696875138101972,4.024211753777453,288.7025051403798,0.03879504916850857,-1.2974948596202012,1.2974948596202012,True,True,True,True,True,True,True,True,63,10.11339999968186,9.245819667339033,6,6,0,45;46;47;48;49;39,45;46;47;48;49;39,
main29_s005,3.0,2.0,65.0,5,True,,3.008290507788217,2.011598774849408,65.87843076282364,0.014257071837994803,0.8784307628236547,0.8784307628236547,True,True,True,True,True,True,True,True,65,9.185100003378466,4.863990596839082,5,5,0,35;36;37;38;45,35;36;37;38;45,
main29_s006,3.0,3.0,265.0,5,True,,3.0028631425454817,2.982221990453088,263.67589433493276,0.018007087734718284,-1.3241056650672363,1.3241056650672363,True,True,True,True,True,True,True,True,52,7.529599999543279,3.4849765909130075,5,5,0,45;46;47;48;37,45;46;47;48;37,
main29_s007,3.0,4.0,280.0,6,True,,2.9325923377092122,4.007189304260694,276.6141989646062,0.06778996261439983,-3.385801035393797,3.385801035393797,False,True,True,True,True,True,True,True,62,9.731800000736257,2.339648142705838,6,6,0,45;46;47;48;49;38,45;46;47;48;49;38,
main29_s008,4.0,1.0,115.0,5,True,,3.964260730378106,0.9703345101999387,116.82263522766391,0.046447138536017334,1.822635227663909,1.822635227663909,True,True,True,True,True,True,True,True,71,10.68210000084946,4.29988026491374,5,5,0,38;39;41;42;48,38;39;41;42;48,
main29_s009,4.0,2.0,65.0,6,True,,3.9717830858644163,2.0066177260002616,65.81100677768683,0.02898255580085098,0.8110067776868277,0.8110067776868277,True,True,True,True,True,True,True,True,57,8.41230000150972,2.155692126154573,6,6,0,34;35;36;37;46;47,34;35;36;37;46;47,
main29_s010,4.0,3.0,250.0,3,True,,3.929818422408836,2.983905888844168,254.87793954071688,0.07200329330718738,4.877939540716881,4.877939540716881,False,True,True,True,True,True,True,True,87,11.329099997965386,2.6969245152935413,3,3,0,45;46;48,45;46;48,
main29_s011,4.0,4.0,220.0,5,True,,4.012044255963232,3.9499509509336312,220.26846953763257,0.05147787305392138,0.2684695376325692,0.2684695376325692,False,True,True,True,True,True,True,True,58,8.824299999105278,2.9433919450594765,5,5,0,42;43;45;46;35,42;43;45;46;35,
main29_s012,5.0,1.0,115.0,6,True,,4.957764745908701,0.9791887187618357,116.65438418693695,0.047084244869494855,1.6543841869369658,1.6543841869369658,True,True,True,True,True,True,True,True,71,11.281299997790484,6.930801761615113,6,6,0,36;37;38;40;41;49,36;37;38;40;41;49,
main29_s013,5.0,2.0,115.0,6,True,,4.892661421450725,1.9608057879777023,115.201375260104,0.11427054170269618,0.20137526010398688,0.20137526010398688,False,False,True,True,True,True,False,True,65,10.059100000944454,3.7266823047206525,6,6,0,36;37;38;39;40;49,36;37;38;39;40;49,
main29_s014,5.0,3.0,245.0,6,True,,4.983049527284636,2.992689909491706,245.79358603940074,0.018459576065385636,0.7935860394007364,0.7935860394007364,True,True,True,True,True,True,True,True,57,8.93029999861028,4.988858832817783,6,6,0,46;47;48;49;34;35,46;47;48;49;34;35,
main29_s015,5.0,4.0,245.0,5,True,,5.005582677095542,3.9710105966711438,245.51095525029203,0.029522055973732402,0.510955250292028,0.510955250292028,True,True,True,True,True,True,True,True,59,8.670999999594642,4.957906553050487,5,5,0,46;47;48;49;35,46;47;48;49;35,
main29_s016,6.0,2.0,65.0,6,True,,6.01559631725385,2.031603657211522,66.25965404958106,0.035242534826912524,1.2596540495810586,1.2596540495810586,True,True,True,True,True,True,True,True,56,8.25750000149128,2.0138138583094083,6,6,0,32;33;34;35;48;49,32;33;34;35;48;49,
main29_s017,6.0,4.0,260.0,5,True,,6.074153468639702,4.003272864499024,261.62740344193867,0.07422565966920235,1.627403441938668,1.627403441938668,False,True,True,True,True,True,True,True,61,8.437199998297729,3.593067242137711,5,5,0,48;49;50;51;34,48;49;50;51;34,
main29_s018,7.0,1.0,25.0,4,True,,7.025703811571521,1.0606603376663302,26.1312944788285,0.0658814275429537,1.1312944788284938,1.1312944788284938,False,True,True,True,True,True,True,True,89,12.713299998722505,1.2810035485520022,4,4,0,31;55;56;57,31;55;56;57,
main29_s019,7.0,2.0,60.0,4,True,,6.997102550092345,2.0291017840348147,60.608838468490596,0.029245667200054854,0.6088384684906032,0.6088384684906032,True,True,True,True,True,True,True,True,48,6.5271999992546625,0.8819209426689169,4,4,0,32;33;49;50,32;33;49;50,
main29_s020,7.0,3.0,250.0,6,True,,6.992235220685967,2.9811270613481327,250.91409310939972,0.020407832103209275,0.9140931093997153,0.9140931093997153,True,True,True,True,True,True,True,True,58,8.784599998762133,2.901135786488143,6,6,0,48;49;50;51;32;33,48;49;50;51;32;33,
main29_s021,7.0,4.0,295.0,4,True,,7.045801950814445,4.022435084324742,297.0741747959151,0.05100148730250031,2.0741747959150985,2.0741747959150985,False,True,True,True,True,True,True,True,57,8.296799998788629,1.753757063039297,4,4,0,51;53;55;34,51;53;55;34,
main29_s022,8.0,1.0,40.0,5,True,,8.014082047188415,1.02389860503187,40.00736942353211,0.027738914461205355,0.007369423532111341,0.007369423532111341,True,True,True,True,True,True,True,True,64,9.916399998473935,5.679622073812948,5,5,0,31;55;56;57;51,31;55;56;57;51,
main29_s023,8.0,2.0,110.0,5,True,,7.951210774030125,2.017443456192426,110.5583339897969,0.051813731140274155,0.5583339897968926,0.5583339897968926,False,True,True,True,True,True,True,True,64,9.955500001524342,1.6701192228245112,5,5,0,32;33;34;35;52,32;33;34;35;52,
main29_s024,8.0,3.0,250.0,4,True,,7.98347690714046,2.991733128007653,250.56926894012372,0.018475761694253134,0.5692689401237203,0.5692689401237203,True,True,True,True,True,True,True,True,53,7.053099998302059,2.247165490945291,4,4,0,50;51;52;32,50;51;52;32,
